,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Angoche,-16.23,39.91,73.99,75,75,8.5,MZ,1592758924
360,Sørland,67.67,12.69,64.4,63,63,8.05,NO,1592758924
361,Marawi,8.0,124.29,77.0,90,90,7.0,PH,1592758924
363,Ancud,-41.87,-73.82,48.0,100,100,9.17,CL,1592758925
364,Vila Franca do Campo,37.72,-25.43,69.8,73,73,9.17,PT,1592758925
365,Codrington,-38.27,141.97,43.3,94,94,7.85,AU,1592758925
366,Hamilton,39.18,-84.53,89.01,59,59,8.46,US,1592758820
367,Belyy Yar,53.6,91.39,50.0,93,93,8.95,RU,1592758925
368,Yamada,39.47,141.95,60.21,84,84,3.53,JP,1592758925
369,Hobyo,5.35,48.53,80.28,70,70,28.36,SO,1592758925
370,Mitú,1.2,-70.17,85.03,69,69,2.17,CO,1592758925
371,Parksepa,57.91,26.98,72.0,46,46,10.29,EE,1592758926
373,Barentu,15.11,37.59,89.44,32,32,7.78,ER,1592758926
374,Shelburne,44.08,-80.2,86.0,45,45,11.41,CA,1592758864
375,San Quintín,30.48,-115.95,66.58,73,73,12.44,MX,1592758926
376,Laguna,38.42,-121.42,77.0,64,64,3.36,US,1592758926
377,Bealanana,-14.55,48.73,63.36,91,91,6.78,MG,1592758926
378,Kendari,-3.94,122.5,73.76,93,93,3.58,ID,1592758730
379,Porto-Novo,6.5,2.6,84.2,74,74,13.87,BJ,1592758766
380,Bintulu,3.17,113.03,77.0,100,100,2.24,MY,1592758927
381,Luanda,-8.84,13.23,75.2,78,78,10.29,AO,1592758927
382,Palembang,-2.92,104.75,74.34,96,96,2.93,ID,1592758927
383,Bose,45.46,8.01,84.0,37,37,6.93,IT,1592758927
384,Kolokani,13.57,-8.03,102.7,18,18,9.64,ML,1592758927
386,Stolin,51.89,26.85,72.63,87,87,7.81,BY,1592758927
387,Morón,-34.65,-58.62,64.99,72,72,11.41,AR,1592758928
388,Luau,-10.71,22.22,65.5,28,28,4.74,AO,1592758928
389,Lilongwe,-13.97,33.79,63.16,44,44,1.5,MW,1592758788
391,Staicele,57.84,24.75,73.0,58,58,4.0,LV,1592758928
392,Valea Ciorii,44.72,27.57,71.6,83,83,5.82,RO,1592758928
393,Hasaki,35.73,140.83,66.2,100,100,6.93,JP,1592758928
394,Chishtian,29.8,72.87,102.79,21,21,10.65,PK,1592758928
395,Province of Mantua,45.17,10.78,87.01,32,32,4.7,IT,1592758929
396,Viedma,-40.81,-63.0,57.4,37,37,15.05,AR,1592758798
